,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
bh,0.8256983380724072,2.2505631073911525,-0.9026419557766762,1.9164728871764054,-0.797248307454091,-1.9304322450307234,-2.005192794826631,-0.2700389578216902,-1.2594979905656998,0.7569378315915303,0.20679254290794152,0.22079244141142756,-0.3247630042947638,0.6229029771935121,-0.017996228195960893,0.266978268839187,0.27574067692067256,-0.145648301156022,-0.18708366091200448,-0.12516530029917894,0.13412034207620838
bn,-1.091592602929023,0.16217979514956612,0.4854289675167006,1.1357896312371423,0.10477609076004862,0.4285288405164791,-0.17683966697716777,-0.658542377821047,-0.7937100510979918,-0.9652283228743798,-0.11796811482156663,0.25421387158251807,0.010553363389678404,-0.10272889061909625,-0.120958304716675,0.25078022396580546,0.48026539162894555,0.14207455633663035,0.1926237366626502,0.06194130469145671,0.15747750627791549
cj,4.915316960478956,0.7765752684985786,-0.8795261999391557,-0.7396388481411537,-0.023563640226836248,1.0546309282126087,0.6656586075232305,-2.2493612155759735,0.597538781244722,0.1009196587424419,-0.7938437652670995,0.04131021352762195,-0.2206758297486728,-0.5610418554813208,0.020141066652836964,0.4567483198283226,-0.06259819717914301,0.05656759516644278,-0.19593103045855856,-0.1436929347842823,-0.1739900457364455
mm,-0.6374150783073668,0.8385960654273727,-0.4656515453976842,-0.5347308913993082,0.9159472761358521,1.0435051042169168,-0.4918628674745626,-0.1739863575772663,-0.547684223501067,-0.2106004348428193,-0.5554591362702943,0.08173593306322564,-0.20639542091062854,-0.25856424755140156,-0.15232315659759765,-0.3029827299892447,-0.018120955446160714,0.15576854361967932,0.053047058289838175,-0.018846011023353385,-0.07936978930684134
sm,-1.2209775309628599,0.17649392872830333,-0.7315559818209415,1.277637462167722,1.272811899218817,0.5803908685764988,-0.7330678179721697,-0.3373435343766875,0.06515436916799998,-0.6854436024732746,-0.41803759847955796,-0.17773820731182824,0.2647432826723387,-0.11469664814876493,-0.08787452825371711,-0.08596109608240643,0.030383247636194977,0.03067505239720682,0.0030495949229346294,0.07161615475486802,0.24891932431960515
sj,-1.2163562295321693,0.04695283029395717,-1.3626516883019189,1.2704040859504715,-0.7447018768522289,-0.6282638895906143,-0.8623241113952038,-0.04692389654964353,0.5059487955859947,-0.3352623005526399,-0.38002477568872167,-0.04320843048574283,0.7090101476411883,-0.03629874961594431,-0.09628078097175591,-0.3439408154692939,-0.23845359116460066,0.31782606988321,-0.1482853397750336,0.04413993162212964,-0.11560863427735779
ab,0.16597065882026826,1.0425224917371083,-2.366878726776555,0.8870172828423859,-1.3877064580588023,0.9464262123209692,1.3924276993435,-1.1202029473142103,0.48012424542246296,-0.36902179706719085,1.4429341344738777,-0.30496669668273385,0.2462889728345619,0.3603218882389668,-0.42590051634122106,0.12901073230619425,0.35539606052462763,0.29652288127804016,0.1403012099658564,0.0761060680104296,-0.044179458705745356
bv,4.1170635477037525,0.6283201204453374,0.4474732350016361,0.027317391284779953,-0.18229292120748833,1.9512109837089904,0.8544124327648276,1.7275020085562105,-1.3585343606738158,0.7673336304652997,0.12289280419908831,-0.7806399094412138,-0.176712535225,0.7242759314443791,-0.09086767012012124,0.25683991407581264,-0.5880642551298856,0.0618452233341574,-0.1941738830172092,0.061401895612828154,-0.014213762366133734
cv,-0.6777549698381706,1.933437495446617,-1.5595723792589393,1.103188729257333,-1.8191610437259793,-0.28466190754811327,0.15195438563370767,0.592297658767242,-0.16107524233820106,1.4950457396152055,-0.6621004211685207,0.5425937431860183,0.16816473374788415,0.03789509285362742,-0.08730402947267288,-0.3574819846151198,0.005089611713535797,-0.3450696259405845,0.17702280927700897,-0.056196547601951384,-0.16782789858162464
hr,-0.9864886565828158,0.8020024082630209,-1.603335459229765,0.006728175986064711,-0.06598207718023073,0.7007287810820427,-0.950334031888884,0.45787970639539083,1.145607742020722,-0.3564104552937399,-0.4797850308223364,0.20412927175824117,-0.45091667541275615,0.22343467944925471,-0.1261134001193207,-0.11408853878374713,-0.3249619940723945,0.2892672362248872,0.04502125491272392,0.17156967048381636,0.008251026898458294
ms,0.4595879273649192,1.0141285795119912,-1.3216657386480792,0.8446826976099521,-0.11522476096233251,0.7972025274784748,-0.050894724011764876,-0.29331087991073745,-0.03769677888228885,0.09866167786151922,-0.6949849049023779,0.07157149559342521,1.494313348901885,-0.117426890286317,0.19019077619913952,0.07058908328034172,-0.39650213623603997,0.00487659980629454,0.06335300127365957,-0.27039464777787586,0.06965887532431395
sb,3.489522164259211,1.7239406075106176,-0.41120336115365375,1.7037709635006184,0.4760762530033018,1.1363615109393104,2.3068993310518935,0.9280563966860098,-0.35787329018001723,-1.2685136025945951,-0.056626995095562,-0.4394661490155922,0.009852028911763538,-0.19333387449908176,-0.03031169644848651,-0.04645711538662457,0.20399408361566082,-0.38855717006280366,-0.2706321063931033,-0.0068355971545357745,0.1135228915162344
bc,-0.7492306535144055,-0.17743139237596933,0.46302467963523264,-1.1628052397513444,1.4645148247008128,0.283707431030656,0.4315418301500685,1.1283707387318658,-0.6359166854579977,-0.2930678250945017,0.25981335939988925,0.6763451161841376,0.2540852297955915,-0.3129538475420319,0.6700041827958473,0.19668209755415073,0.4536799081320718,-0.051455919697315125,0.05416819073767426,0.050511042038385225,-0.05466364478613722
bt,-3.622006563259591,0.53397931933519,0.014762638705758523,-0.10654088026970139,0.4790875259538578,-0.18586263664285724,0.32981714525433714,-1.5753348179390965,-0.5743425006449064,-0.418938419441605,-0.3914162975092256,0.6834431226827098,-0.032066722665258895,0.04791790330354314,0.636450613259309,-0.030200815318564774,-0.3784755642692871,0.040306869075550464,0.12041222333483008,0.135109112258467,-0.04294358092425374
